X,Plate,Sample.Code,OleicAc.concentration.molarity,Oleylamine.concentration.molarity,CdAc.concentration.molarity,Se.concentration.molarity,Run_1_peak_position,Run_1_abs_avg,Run_1_Diameter,Run_2_peak_position,Run_2_peak_abs_avg,Run_2_Diameter,Run_3_peak_position,Run_3_peak_abs_avg,Run_3_Diameter,Avg_peak_position,Std_dev_peak_position,Avg_peak_intensity,Std_dev_peak_intensity,Avg_diameter,Std_dev_diameter,Run_1_FL_Peak_Intensity,Run_1_FL_Peak_Position,Run_2_FL_Peak_Intensity,Run_2_FL_Peak_Position,Run_3_FL_Peak_Intensity,Run_3_FL_Peak_Position,Avg_FL_Peak_Position,Avg_FL_Peak_Intensity,Std_dev_Peak_Position,Std_dev_Peak_Intensity,Run_1_Stokes_shift,Run_2_Stokes_shift,Run_3_Stokes_shift,Avg_Stokes_shift,Std_dev_Stokes_shift
20,1,1-B9,0,0,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,1-B10,0,0,0.1,0.025,438,0.820666667,1.862489266,433,0.504666667,1.824666343,434,0.717666667,1.832284587,435,2.645751311,0.681,0.161159342,1.839813399,0.020003891,9595,587,11348,566,6253,590,581,9065.333333,13.07669683,2113.475232,149,133,156,146,11.78982612
22,1,1-B11,0,0,0.1,0.05,440,0.776,1.877443712,437,0.52,1.854976529,434,0.697,1.832284587,437,3,0.664333333,0.131089028,1.854901609,0.022579656,9766,583,11843,585,7085,586,584.6666667,9564.666667,1.527525232,1947.6554,143,148,152,147.6666667,4.509249753
23,1,1-B12,0,0,0.1,0.075,442,0.708333333,1.892310462,437,0.523333333,1.854976529,432,0.664333333,1.817019554,437,5,0.632,0.0966454,1.854768848,0.037645884,9990,586,11192,587,7489,588,587,9557,1,1542.437249,144,150,156,150,6
24,1,1-C1,0,0,0.1,0.1,443,0.672,1.899713723,436,0.296333333,1.847438794,433,0.558666667,1.824666343,437.3333333,5.131601439,0.509,0.192695211,1.857272953,0.03847805,9114,590,6217,603,7274,592,595,7535,7,1197.008215,147,167,159,157.6666667,10.06644591
25,1,1-C2,0.125,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,1-C3,0.125,0,0,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,1-C4,0.125,0,0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,1-C5,0.125,0,0,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,1-C6,0.125,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
