UV_ind,FL_ind,UV_PP,UV_PI,FL_PP,FL_PI,FL_SS
1,1,400.6666667,0.473888889,452.3333333,19544.66667,51.66666667
1,1,401.0,0.564777778,450.6666667,24088.66667,49.66666667
1,1,401.3333333,0.572777778,451.0,20240.0,49.66666667
0,0,,,,,
1,1,401.6666667,0.468777778,453.6666667,17587.0,52.0
1,1,401.6666667,0.55,453.6666667,20109.0,52.0
1,1,401.6666667,0.640777778,452.6666667,27386.66667,51.0
1,1,402.0,0.728222222,453.6666667,28197.33333,51.66666667
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
1,1,409.0,0.560166667,483.6666667,1052.333333,84.0
1,1,398.6666667,0.550777778,476.3333333,1346.666667,77.66666667
1,1,407.3333333,0.545555556,506.3333333,1631.666667,99.0
1,1,408.0,0.569888889,499.3333333,1822.333333,91.33333333
0,0,,,,,
1,1,399.0,0.503333333,446.3333333,2345.333333,47.33333333
1,1,408.0,0.530222222,448.0,2984.666667,40.0
1,1,408.3333333,0.564111111,510.6666667,2398.333333,102.3333333
1,1,408.6666667,0.593333333,523.6666667,2692.0,115.0
0,0,,,,,
1,1,416.6666667,0.540666667,444.3333333,3675.0,27.66666667
1,1,416.6666667,0.552333333,493.0,4046.333333,76.33333333
1,1,416.6666667,0.568555556,495.3333333,4945.666667,78.66666667
1,1,416.3333333,0.597333333,492.0,5602.0,75.66666667
0,0,,,,,
1,1,417.3333333,0.535888889,497.0,3415.666667,79.66666667
1,1,417.3333333,0.568111111,461.3333333,4674.666667,44.0
1,1,416.0,0.632111111,453.0,5711.333333,37.0
1,1,416.6666667,0.629555556,482.0,5897.0,65.33333333
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
1,1,416.0,0.539166667,458.3333333,2396.666667,28.5
1,1,417.0,0.584,456.6666667,2792.333333,23.0
1,1,417.0,0.578666667,488.0,1435.0,57.5
1,1,417.0,0.623,496.0,1642.0,87.0
0,0,,,,,
1,1,412.0,0.534166667,470.6666667,2366.0,28.0
1,1,415.0,0.583666667,484.6666667,4037.666667,92.0
1,1,417.0,0.627833334,491.6666667,4158.333333,103.5
1,1,417.0,0.640333334,507.3333333,2786.333333,99.0
0,0,,,,,
1,1,405.0,0.529,484.6666667,2236.0,32.0
1,1,419.5,1.027833334,447.0,5072.333333,31.0
1,1,418.3333333,1.042555555,584.0,4731.0,165.6666667
1,1,418.3333333,1.017555556,585.3333333,5859.0,167.0
0,0,,,,,
1,1,419.0,1.026555555,542.0,4924.0,123.0
1,1,418.6666667,1.048555555,536.0,5540.666667,117.3333333
1,1,418.3333333,1.044777778,589.6666667,6574.0,171.3333333
1,1,417.6666667,1.051777778,587.0,7267.0,169.3333333
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,1,,,465.6666667,4466.0,
0,1,,,470.3333333,13932.0,
0,1,,,455.6666667,12943.0,
0,1,,,439.3333333,17063.33333,
0,0,,,,,
0,1,,,488.0,2971.666667,
1,1,418.0,1.263,476.0,3827.333333,62.0
1,1,418.0,1.319333333,470.3333333,4529.666667,22.0
1,1,421.0,1.244666667,465.0,5531.666667,56.5
0,0,,,,,
0,1,,,492.0,2773.0,
1,1,420.0,1.383,480.0,4484.333333,20.0
1,1,417.0,1.444,506.3333333,4239.0,146.0
1,1,420.0,1.495222222,488.6666667,7024.333333,68.66666667
0,0,,,,,
1,1,422.0,1.324333333,479.6666667,4165.666667,27.0
1,1,420.5,1.538666667,482.0,19574.33333,59.5
1,1,420.0,1.425777778,594.6666667,6551.333333,174.6666667
1,1,419.6666667,1.433555556,490.0,8883.333333,70.33333333
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,1,,,517.3333333,1571.0,
0,1,,,501.3333333,2565.0,
0,1,,,470.6666667,5316.333333,
0,1,,,486.6666667,3423.0,
0,0,,,,,
0,1,,,438.0,22837.66667,
0,1,,,504.6666667,4401.333333,
1,1,423.0,1.525,484.6666667,5371.333333,101.0
1,1,423.0,1.505333333,482.0,5847.0,70.0
0,0,,,,,
0,1,,,493.6666667,3108.333333,
0,1,,,481.3333333,3998.333333,
0,1,,,492.3333333,2480.0,
1,1,422.0,1.631666667,483.0,3593.333333,56.0
0,0,,,,,
0,1,,,496.0,2781.666667,
0,1,,,518.0,3735.0,
1,1,421.0,1.572666667,501.0,5224.333333,22.0
1,1,421.3333333,1.439666667,553.3333333,4858.0,132.0
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
1,1,402.3333333,0.300555556,423.0,1756.333333,20.66666667
1,1,401.6666667,0.331777778,417.6666667,2861.666667,16.0
1,1,401.6666667,0.371555556,425.6666667,3433.666667,24.0
1,1,401.6666667,0.392555556,431.0,4592.333333,29.33333333
0,0,,,,,
1,1,385.3333333,0.292555555,428.0,3267.333333,42.66666667
1,1,393.3333333,0.331666667,433.0,4786.666667,39.66666667
1,1,392.6666667,0.374111111,433.3333333,6440.666667,40.66666667
1,1,392.6666667,0.391111111,432.0,7450.333333,39.33333333
0,0,,,,,
1,1,385.3333333,0.303888889,434.0,5736.666667,48.66666667
1,1,385.3333333,0.349333333,437.3333333,8471.666667,52.0
1,1,389.5,0.397666667,434.3333333,9346.666667,47.5
1,1,401.5,0.430333333,436.3333333,10611.0,32.0
0,0,,,,,
1,1,389.5,0.324166667,441.0,8539.666667,50.5
1,1,393.0,0.367888889,438.0,10963.66667,45.0
1,1,392.6666667,0.410666667,441.3333333,13263.66667,48.66666667
1,1,401.0,0.448833334,441.3333333,14577.66667,39.0
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,1,,,564.3333333,375.6666667,
0,1,,,619.6666667,456.0,
1,1,378.5,0.497166667,566.6666667,333.6666667,127.5
1,1,378.0,0.5095,636.3333333,280.0,227.5
0,0,,,,,
0,1,,,578.6666667,305.0,
0,1,,,499.0,463.0,
1,1,378.0,0.465333333,520.6666667,543.6666667,132.0
1,1,385.6666667,0.593,503.0,731.3333333,117.3333333
0,0,,,,,
0,1,,,510.6666667,725.0,
1,1,378.0,0.569,500.6666667,770.3333333,109.0
1,1,377.0,0.567111111,452.3333333,9104.666667,75.33333333
1,1,385.3333333,0.604444444,492.6666667,1813.333333,107.3333333
0,0,,,,,
0,1,,,558.6666667,1194.666667,
1,1,378.0,0.537777778,470.3333333,2405.333333,92.33333333
1,1,394.0,0.561333333,490.6666667,885.6666667,96.66666667
1,1,394.0,0.617666667,494.3333333,979.3333333,100.3333333
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
1,1,397.0,0.702166667,527.0,580.3333333,127.0
1,1,397.0,0.769166667,486.6666667,2650.666667,71.5
1,1,397.0,0.747,491.3333333,1260.0,85.5
1,1,411.3333333,0.785555555,470.6666667,2881.0,59.33333333
0,0,,,,,
1,1,416.0,0.817333333,494.6666667,2633.0,24.0
1,1,394.0,0.677555556,514.3333333,1005.666667,120.3333333
1,1,411.6666667,0.772333333,479.6666667,3309.0,68.0
1,1,411.6666667,0.786,471.3333333,2665.666667,59.66666667
0,0,,,,,
1,1,401.0,0.790666667,565.3333333,875.0,103.0
1,1,407.0,0.740666667,474.0,3062.333333,67.0
1,1,407.0,0.776333333,497.3333333,1490.333333,90.33333333
1,1,411.6666667,0.804222222,481.3333333,2185.666667,69.66666667
0,0,,,,,
1,1,403.3333333,0.683333333,508.6666667,1171.666667,105.3333333
1,1,407.3333333,0.719111111,503.6666667,1267.0,96.33333333
1,1,411.0,0.751555556,470.3333333,3676.0,59.33333333
1,1,410.3333333,0.791333333,507.3333333,3847.0,97.0
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
1,1,416.0,0.743333333,515.0,1125.0,97.0
1,1,416.0,0.9855,488.6666667,2596.333333,51.0
1,1,416.0,1.046555555,453.3333333,6148.666667,37.33333333
1,1,416.6666667,1.280111111,513.0,2005.666667,96.33333333
0,0,,,,,
1,1,398.0,0.918,504.6666667,1199.0,99.0
1,1,416.6666667,0.960444444,504.0,1754.0,87.33333333
1,1,416.6666667,0.988444444,478.0,4108.333333,61.33333333
1,1,416.6666667,1.086888889,475.6666667,4187.666667,59.0
0,0,,,,,
1,1,416.0,0.896222222,525.0,1553.0,109.0
1,1,416.6666667,1.003555556,461.3333333,4630.333333,44.66666667
1,1,417.0,1.050888889,483.6666667,3049.0,66.66666667
1,1,417.3333333,1.071888889,441.0,7732.333333,23.66666667
0,0,,,,,
1,1,416.0,0.910111111,481.6666667,2439.666667,65.66666667
1,1,416.3333333,0.901888889,473.6666667,3505.666667,57.33333333
1,1,417.0,0.965111111,474.0,4421.666667,57.0
1,1,417.6666667,1.048222222,507.0,4166.333333,89.33333333
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
1,1,417.0,0.961,534.0,924.3333333,73.0
1,1,417.0,0.971,430.3333333,21441.0,63.0
1,1,417.0,0.988333333,512.0,1684.666667,74.0
1,1,417.0,1.064166667,505.6666667,1916.333333,96.5
0,0,,,,,
1,1,418.0,1.152833334,504.6666667,1666.0,99.0
1,1,418.0,1.184833334,493.0,2456.333333,75.0
1,1,417.0,1.304777778,496.3333333,2441.333333,79.33333333
1,1,418.0,1.420666667,483.3333333,3197.333333,65.33333333
0,0,,,,,
1,1,418.0,1.192666667,514.6666667,1790.666667,88.0
1,1,417.6666667,1.280333333,506.0,2571.666667,88.33333333
1,1,418.0,1.2585,481.3333333,3894.666667,51.0
1,1,418.3333333,1.299222222,475.0,5136.666667,56.66666667
0,0,,,,,
1,1,418.5,1.0835,487.0,2747.666667,65.5
1,1,418.6666667,1.083444445,481.0,3496.0,62.33333333
1,1,418.6666667,1.186,501.6666667,4230.0,83.0
1,1,418.6666667,1.194111111,485.3333333,6243.666667,66.66666667
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
1,1,386.3333333,0.297444445,516.3333333,1016.333333,130.0
1,1,389.5,0.341,504.3333333,1835.333333,18.0
1,1,394.0,0.363111111,414.6666667,2653.0,20.66666667
1,1,401.0,0.413777778,424.0,4444.0,23.0
0,0,,,,,
1,1,402.3333333,0.326111111,409.0,2688.0,6.666666667
1,1,402.0,0.358222222,415.0,3852.333333,13.0
1,1,402.6666667,0.402777778,428.3333333,4869.0,25.66666667
1,1,402.3333333,0.426444444,427.3333333,5622.333333,25.0
0,0,,,,,
1,1,401.3333333,0.308222222,416.3333333,3122.0,15.0
1,1,401.6666667,0.380222222,426.6666667,4276.333333,25.0
1,1,401.6666667,0.398111111,428.3333333,5751.666667,26.66666667
1,1,401.6666667,0.435555555,430.0,6577.333333,28.33333333
0,0,,,,,
1,1,393.0,0.328,415.3333333,3439.666667,22.33333333
1,1,393.3333333,0.390777778,429.0,4914.333333,35.66666667
1,1,401.0,0.419666667,427.3333333,6297.0,26.33333333
1,1,401.0,0.468333333,430.3333333,7988.0,29.33333333
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,1,,,629.3333333,363.6666667,
1,1,377.6666667,0.538444445,482.6666667,1122.666667,105.0
1,1,377.3333333,0.579666667,488.0,890.3333333,110.6666667
1,1,377.3333333,0.625555556,470.3333333,2108.333333,93.0
0,0,,,,,
0,1,,,571.6666667,364.3333333,
0,1,,,569.6666667,1025.333333,
1,1,377.0,0.597555556,565.0,628.6666667,188.0
1,1,377.3333333,0.621111111,497.0,772.6666667,119.6666667
0,0,,,,,
0,1,,,508.3333333,541.0,
0,1,,,482.6666667,912.6666667,
1,1,377.0,0.6115,562.6666667,524.6666667,117.5
1,1,377.0,0.585777778,479.0,1432.0,102.0
0,0,,,,,
0,1,,,559.3333333,643.3333333,
0,1,,,636.6666667,267.3333333,
0,1,,,506.3333333,802.0,
1,1,377.0,0.577444444,488.5,1071.0,111.5
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,1,,,695.0,174.0,
1,1,378.0,0.676333333,580.6666667,373.3333333,119.0
1,1,377.6666667,0.665111111,510.6666667,682.3333333,133.0
1,1,377.3333333,0.715333333,498.0,796.0,120.6666667
0,0,,,,,
0,1,,,516.0,603.6666667,
0,1,,,579.0,406.3333333,
1,1,377.5,0.701666667,551.3333333,1572.333333,103.0
1,1,377.6666667,0.734333333,568.3333333,562.3333333,190.6666667
0,0,,,,,
0,1,,,690.3333333,181.3333333,
1,1,378.0,0.608333333,558.3333333,2268.666667,62.0
1,1,401.0,0.631,523.6666667,646.0,150.0
1,1,386.3333333,0.714,567.3333333,739.3333333,181.0
0,0,,,,,
0,1,,,479.3333333,2224.333333,
0,1,,,568.3333333,624.0,
1,1,377.0,0.649,530.0,555.0,172.0
1,1,403.0,0.660666667,476.0,2692.333333,43.0
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,1,,,634.6666667,346.0,
0,1,,,585.3333333,393.6666667,
1,1,415.0,0.842166667,495.0,1135.0,72.5
1,1,415.5,0.8525,492.0,2208.0,99.5
0,0,,,,,
0,1,,,565.0,751.0,
1,1,416.0,0.809,562.6666667,828.3333333,94.0
1,1,397.0,0.8795,522.6666667,733.6666667,122.5
1,1,403.0,0.891555555,495.0,1401.333333,92.0
0,0,,,,,
1,1,416.0,0.781666667,521.6666667,874.6666667,105.0
1,1,378.5,0.777666667,592.6666667,447.0,162.0
1,1,378.0,0.827166667,503.3333333,1114.0,120.5
1,1,396.5,0.899833333,494.3333333,1493.333333,97.0
0,0,,,,,
0,1,,,548.6666667,469.0,
1,1,396.0,0.846666667,520.6666667,1038.0,118.0
1,1,396.0,0.869166667,522.6666667,1008.0,121.5
1,1,396.0,0.914166667,519.3333333,1200.333333,115.5
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,1,,,522.6666667,1547.333333,
1,1,417.0,1.099,510.3333333,1839.333333,76.0
1,1,416.0,1.186333333,507.0,2347.333333,74.0
1,1,416.0,1.294666667,489.6666667,5245.0,77.0
0,0,,,,,
1,1,416.5,1.370333333,531.3333333,1738.333333,114.0
1,1,416.0,1.410166667,494.3333333,3081.666667,82.5
1,1,416.0,1.351333334,473.0,5824.0,51.5
1,1,416.0,1.441333333,525.0,2169.333333,109.0
0,0,,,,,
1,1,416.6666667,1.373111111,498.6666667,2517.0,82.0
1,1,416.3333333,1.376777778,511.6666667,2440.0,95.33333333
1,1,416.6666667,1.445444444,501.3333333,3202.0,84.66666667
1,1,416.6666667,1.434555556,467.6666667,7305.0,51.0
0,0,,,,,
1,1,416.6666667,1.387,534.3333333,1820.0,117.6666667
1,1,416.3333333,1.428222222,499.0,3502.666667,82.66666667
1,1,417.0,1.370888889,481.6666667,4659.333333,64.66666667
1,1,417.0,1.402444444,477.3333333,7092.666667,60.33333333
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
1,1,400.6666667,0.363777778,420.3333333,2062.333333,19.66666667
1,1,400.0,0.389333333,409.0,2755.333333,9.0
1,1,400.0,0.441,403.0,3254.333333,3.0
1,1,399.6666667,0.435777778,418.6666667,3340.333333,19.0
0,0,,,,,
1,1,402.6666667,0.345111111,406.3333333,2963.666667,3.666666667
1,1,402.3333333,0.390888889,418.3333333,3082.333333,16.0
1,1,402.3333333,0.441111111,420.3333333,3587.333333,18.0
1,1,402.0,0.456666667,423.3333333,3750.666667,21.33333333
0,0,,,,,
1,1,401.6666667,0.351111111,414.6666667,2726.0,13.0
1,1,401.6666667,0.401666667,403.3333333,3791.333333,1.666666667
1,1,402.0,0.443666667,413.0,3785.333333,11.0
1,1,402.6666667,0.482777778,422.6666667,4151.333333,20.0
0,0,,,,,
1,1,393.6666667,0.338555555,428.6666667,2897.0,35.0
1,1,401.3333333,0.428,419.6666667,3388.333333,18.33333333
1,1,401.6666667,0.429555555,416.3333333,4038.0,14.66666667
1,1,401.3333333,0.489,421.0,4696.333333,19.66666667
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
1,1,377.0,0.421666667,609.0,981.0,63.0
1,1,377.5,0.524666667,515.3333333,508.3333333,135.0
1,1,377.5,0.559166667,518.6666667,550.6666667,157.5
1,1,377.3333333,0.623222222,562.0,618.3333333,184.6666667
0,0,,,,,
0,1,,,695.3333333,183.3333333,
1,1,378.0,0.468,635.6666667,270.6666667,140.0
1,1,378.0,0.575833334,561.3333333,450.6666667,123.5
1,1,377.5,0.630666667,512.6666667,553.3333333,146.5
0,0,,,,,
0,1,,,531.0,340.6666667,
0,1,,,532.0,320.3333333,
1,1,377.0,0.468333333,525.0,467.6666667,154.0
1,1,378.0,0.514333333,562.6666667,678.6666667,86.0
0,0,,,,,
0,1,,,576.3333333,541.6666667,
0,1,,,557.0,669.6666667,
0,1,,,576.6666667,281.6666667,
0,1,,,574.6666667,393.0,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
1,1,377.0,0.488,561.3333333,698.3333333,321.0
1,1,377.0,0.517333333,478.3333333,2148.333333,106.0
